,key,team1,team2,date,FTR,team1_home_win,team1_home_draw,team1_away_win,team1_away_draw,team1_home_goals,team1_away_goals,team1_home_goals_conceded,team1_away_goals_conceded,team1_home_shots,team1_away_shots,team1_home_shots_target,team1_away_shots_target,team1_home_corners,team1_away_corners,team1_home_fouls,team1_away_fouls,team1_home_foul_points,team1_away_foul_points,team1_form,team2_home_win,team2_home_draw,team2_away_win,team2_away_draw,team2_home_goals,team2_away_goals,team2_home_goals_conceded,team2_away_goals_conceded,team2_home_shots,team2_away_shots,team2_home_shots_target,team2_away_shots_target,team2_home_corners,team2_away_corners,team2_home_fouls,team2_away_fouls,team2_home_foul_points,team2_away_foul_points,team2_form,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
0,Arsenal_West Brom_2008-08-16,Arsenal,West Brom,2008-08-16,H,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,14.0,4.0,7.0,5.0,11.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,1.2,6.5,15.0,1.22,5.5,10.0,1.22,5.5,13.0,1.2,5.2,11.0,1.2,5.0,11.0,1.2,5.5,12.0,1.17,5.5,12.0,1.2,5.5,12.0,1.25,6.0,13.0,1.22,5.0,13.0,40.0,1.26,1.22,6.25,5.6,17.0,13.52,37.0,1.71,1.65,2.25,2.14,26.0,-1.5,1.88,1.81,2.12,1.97
1,Bolton_Stoke_2008-08-16,Bolton,Stoke,2008-08-16,H,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,14.0,0.0,8.0,2.0,4.0,3.0,13.0,0.0,10.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,0.0,0,1.83,3.5,4.5,1.75,3.3,4.4,1.83,3.25,4.5,1.75,3.3,4.2,1.73,3.4,4.0,1.8,3.25,4.2,1.8,3.1,4.0,1.8,3.2,4.33,1.85,3.4,4.8,1.8,3.25,4.33,44.0,1.87,1.81,3.51,3.35,5.3,4.54,37.0,2.33,2.16,1.7,1.64,27.0,0.0,1.35,1.31,3.56,3.27
2,Everton_Blackburn_2008-08-16,Everton,Blackburn,2008-08-16,A,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,10.0,0.0,5.0,11.0,3.0,5.0,11.0,0.0,20.0,0.0,0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,0.0,3,2.0,3.3,4.0,1.85,3.25,4.0,2.0,3.25,3.75,2.0,3.2,3.3,1.8,3.2,4.0,1.9,3.25,3.75,1.95,3.1,3.5,2.0,3.25,3.4,2.05,3.3,4.0,2.0,3.25,3.5,44.0,2.06,1.98,3.39,3.25,4.21,3.86,37.0,2.34,2.17,1.7,1.63,28.0,0.0,1.73,1.43,3.05,2.76
3,Hull_Fulham_2008-08-16,Hull,Fulham,2008-08-16,H,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,11.0,0.0,6.0,6.0,5.0,6.0,10.0,0.0,30.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0,2.6,3.2,2.8,2.45,3.15,2.65,2.6,3.25,2.6,2.4,3.2,2.6,2.4,3.25,2.5,2.5,3.2,2.6,2.5,2.9,2.62,2.38,3.2,2.75,2.6,3.4,2.8,2.6,3.25,2.5,44.0,2.7,2.56,3.38,3.23,2.89,2.68,37.0,2.32,2.15,1.69,1.64,26.0,0.0,1.91,1.85,2.07,1.94
4,Middlesbrough_Tottenham_2008-08-16,Middlesbrough,Tottenham,2008-08-16,H,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,14.0,0.0,10.0,5.0,7.0,9.0,11.0,0.0,10.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,0.0,0,3.2,3.4,2.25,2.8,3.2,2.3,3.0,3.25,2.3,2.9,3.2,2.2,2.8,3.2,2.2,2.8,3.2,2.3,2.9,3.2,2.15,2.88,3.4,2.2,3.2,3.4,2.3,2.8,3.25,2.3,44.0,3.57,3.19,3.55,3.31,2.3,2.2,37.0,1.9,1.81,2.12,1.92,27.0,0.0,2.45,2.3,1.65,1.58
5,Sunderland_Liverpool_2008-08-16,Sunderland,Liverpool,2008-08-16,A,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0,8.0,1.0,8.0,13.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,0.0,3,5.5,3.6,1.67,5.0,3.35,1.67,5.0,3.4,1.7,4.5,3.5,1.65,4.5,3.3,1.67,5.0,3.4,1.65,5.5,3.3,1.57,4.33,3.4,1.73,5.5,3.8,1.65,4.5,3.4,1.73,43.0,5.91,5.24,3.75,3.5,1.76,1.68,37.0,2.22,2.08,1.76,1.69,26.0,0.75,1.97,1.93,1.99,1.94
6,West Ham_Wigan_2008-08-16,West Ham,Wigan,2008-08-16,H,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,15.0,0.0,8.0,9.0,6.0,10.0,14.0,0.0,20.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0,1.91,3.4,4.2,1.9,3.2,3.8,1.91,3.25,4.0,1.8,3.3,3.8,1.8,3.2,4.0,1.9,3.25,3.75,1.83,3.2,3.75,1.91,3.25,3.75,1.9,3.5,4.35,1.91,3.25,3.8,44.0,2.09,1.94,3.4,3.27,4.4,3.98,37.0,2.22,2.1,1.75,1.68,27.0,0.0,1.43,1.39,3.2,2.82
7,Aston Villa_Man City_2008-08-17,Aston Villa,Man City,2008-08-17,H,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,14.0,0.0,10.0,8.0,7.0,8.0,8.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0,1.91,3.4,4.33,1.95,3.2,3.6,1.91,3.25,4.0,2.0,3.2,3.3,1.83,3.2,3.75,1.9,3.25,3.75,1.91,3.2,3.5,1.91,3.25,3.75,1.9,3.5,4.35,1.91,3.3,3.75,42.0,2.0,1.84,3.55,3.32,5.05,4.36,34.0,2.33,2.12,1.73,1.66,25.0,0.0,1.4,1.36,3.25,2.95
8,Chelsea_Portsmouth_2008-08-17,Chelsea,Portsmouth,2008-08-17,H,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,18.0,0.0,11.0,8.0,8.0,3.0,10.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0,1.33,5.0,10.0,1.3,4.75,8.25,1.33,4.75,9.0,1.3,4.4,8.5,1.29,4.33,9.0,1.3,4.5,9.0,1.3,4.2,8.5,1.25,5.0,10.0,1.33,5.0,11.0,1.33,4.2,10.0,40.0,1.36,1.32,5.2,4.69,12.0,10.05,36.0,2.01,1.9,1.93,1.83,25.0,-1.5,2.19,2.1,1.8,1.75
9,Man United_Newcastle_2008-08-17,Man United,Newcastle,2008-08-17,D,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,18.0,0.0,12.0,4.0,6.0,6.0,15.0,0.0,30.0,0.0,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2,1.29,5.5,11.0,1.3,4.75,8.25,1.3,4.75,10.0,1.3,4.4,8.5,1.25,4.5,10.0,1.25,5.0,10.0,1.25,4.5,10.0,1.25,5.0,10.0,1.28,5.5,12.0,1.29,4.5,11.0,40.0,1.32,1.28,5.5,5.03,13.0,11.0,36.0,1.83,1.72,2.2,2.03,25.0,-1.5,2.08,2.02,1.91,1.83
